"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Arrivées dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur - Série arrêtée";"001711144";"";"417.63";"475.58";"526.44";"617.76";"697.48";"702.77";"794.27";"824.81";"673.44";"552.06";"412.18";"384.42";"393.86";"451.7";"540.13";"613.74";"688.79";"759.81";"858.45";"902.13";"729.65";"615.56";"431.22";"404.82";"415.69";"475.33";"570.47";"616.98";"655.28";"716.48";"807.16";"911.67";"712.04";"596.86";"439.1";"405.6";"396.01";"441.83";"535.35";"572.35";"725.64";"778.32";"791.47";"934.38";"715.36";"599.99";"451.16";"395.9";"401.64";"455.38";"545.95";"587.65";"694.76";"726.2";"728.7";"879.12";"650.28";"570.07";"402.54";"390.3";"394.85";"471.93";"513.12";"597.27";"705.01";"702.01";"754.99";"842.68";"663.66";"581.9";"422.07";"397.21";"416.83";"487.87";"565.25";"608.66";"691.89";"682.83";"798.0";"852.32";"675.34";"607.84";"442.72";"435.56";"422.41";"475.11";"563.15";"696.44";"712.79";"720.43";"818.91";"880.19";"710.1";"632.85";"460.96";"425.82";"434.37";"476.13";"556.33";"596.12";"660.44";"753.74";"802.66";"918.55";"718.99";"598.76";"469.59";"449.55";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Corse - Série arrêtée";"001711132";"";"15.98";"20.64";"26.27";"74.89";"154.56";"159.23";"139.25";"137.42";"155.13";"68.25";"22.89";"19.27";"16.88";"20.46";"28.26";"76.87";"148.14";"161.76";"132.28";"161.57";"169.23";"80.6";"22.88";"19.66";"17.73";"20.78";"30.81";"82.6";"146.64";"155.85";"131.45";"167.79";"175.14";"80.61";"30.34";"23.71";"16.53";"19.23";"31.07";"70.6";"156.11";"167.09";"141.09";"173.13";"174.72";"78.12";"26.47";"22.93";"17.72";"18.12";"28.73";"68.3";"147.25";"156.93";"126.99";"158.47";"161.26";"77.95";"21.26";"20.58";"15.49";"17.63";"25.32";"65.61";"153.62";"159.14";"137.5";"171.49";"170.87";"83.5";"23.87";"19.61";"15.26";"19.27";"25.93";"69.85";"141.41";"155.59";"143.75";"163.11";"174.58";"88.94";"25.17";"21.03";"16.14";"19.4";"28.42";"90.55";"143.56";"168.03";"146.99";"181.68";"197.76";"96.87";"26.64";"19.84";"15.71";"19.34";"27.22";"79.64";"151.29";"170.89";"148.2";"171.41";"190.25";"92.4";"25.07";"20.47";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Départements d'outre-mer - Série arrêtée";"001717316";"";"327.6";"340.2";"346.03";"311.53";"292.52";"203.49";"270.52";"337.75";"180.46";"255.56";"318.06";"323.86";"377.61";"373.61";"381.15";"352.33";"283.47";"213.01";"276.34";"342.33";"184.04";"269.79";"336.86";"350.02";"374.09";"376.83";"364.82";"327.25";"292.69";"193.03";"279.28";"343.06";"174.9";"252.61";"333.54";"337.86";"367.89";"356.72";"394.51";"318.67";"320.22";"204.35";"272.8";"340.83";"173.39";"265.91";"315.26";"351.33";"350.23";"356.42";"358.28";"330.26";"253.64";"181.82";"244.18";"295.42";"153.12";"268.19";"274.63";"318.53";"334.95";"354.24";"369.6";"339.98";"303.95";"204.11";"270.44";"332.93";"193.8";"284.31";"307.1";"372.58";"368.88";"366.91";"387.06";"316.92";"286.78";"197.22";"311.07";"331.25";"182.49";"312.31";"340.0";"386.88";"419.44";"394.36";"431.22";"402.1";"298.98";"253.49";"343.38";"387.56";"248.04";"355.4";"377.23";"429.51";"457.98";"451.36";"466.98";"408.85";"368.95";"252.83";"365.57";"427.39";"239.05";"347.17";"381.08";"419.79";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - France métropolitaine et Départements d'outre-mer - Série arrêtée";"001717319";"";"11223.8";"12202.48";"14657.2";"16448.51";"18706.17";"19520.33";"22542.89";"23356.26";"19362.79";"16347.2";"12173.8";"12706.85";"11755.86";"12278.7";"14999.87";"17348.22";"18242.83";"20805.0";"23430.18";"23928.73";"19867.78";"17274.75";"12735.35";"13149.79";"11930.27";"12680.15";"15302.79";"17138.82";"18621.54";"20165.64";"23046.03";"23874.12";"19796.77";"16726.85";"13325.89";"13202.77";"11587.89";"12394.86";"15781.61";"16035.7";"19383.64";"20125.5";"22603.89";"24649.2";"19513.13";"16893.32";"12983.73";"13148.01";"11645.02";"12282.82";"14680.01";"16776.6";"18529.12";"19725.03";"21897.63";"24519.97";"19194.43";"16967.72";"12279.87";"13395.87";"11969.33";"12837.77";"14713.83";"16851.38";"19231.45";"20077.91";"23250.35";"24704.65";"19904.72";"17310.96";"12095.31";"12807.79";"11640.32";"12934.87";"15741.5";"15942.91";"18601.53";"19567.11";"22769.25";"23132.47";"19230.26";"17469.04";"13051.84";"13795.95";"12569.55";"13317.55";"15483.59";"18413.45";"18682.13";"20502.81";"23775.22";"24475.4";"20383.48";"18051.28";"14080.65";"14539.7";"12973.44";"13660.4";"16892.75";"17870.59";"19560.63";"21001.17";"23923.99";"25330.04";"20888.8";"18521.8";"14467.48";"14377.02";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - France métropolitaine - Série arrêtée";"001711055";"";"10896.2";"11862.27";"14311.18";"16136.97";"18413.65";"19316.84";"22272.38";"23018.51";"19182.34";"16091.64";"11855.75";"12382.99";"11378.25";"11905.09";"14618.72";"16995.89";"17959.36";"20591.99";"23153.84";"23586.4";"19683.74";"17004.97";"12398.49";"12799.77";"11556.17";"12303.31";"14937.98";"16811.56";"18328.85";"19972.61";"22766.75";"23531.06";"19621.87";"16474.25";"12992.35";"12864.9";"11219.99";"12038.14";"15387.09";"15717.03";"19063.42";"19921.15";"22331.09";"24308.37";"19339.74";"16627.41";"12668.47";"12796.68";"11294.79";"11926.41";"14321.72";"16446.34";"18275.48";"19543.21";"21653.46";"24224.55";"19041.31";"16699.52";"12005.24";"13077.34";"11634.39";"12483.53";"14344.23";"16511.41";"18927.5";"19873.8";"22979.91";"24371.72";"19710.92";"17026.65";"11788.22";"12435.21";"11271.44";"12567.96";"15354.44";"15625.99";"18314.74";"19369.89";"22458.17";"22801.22";"19047.77";"17156.73";"12711.84";"13409.07";"12150.11";"12923.19";"15052.38";"18011.36";"18383.15";"20249.33";"23431.84";"24087.84";"20135.44";"17695.88";"13703.41";"14110.19";"12515.46";"13209.04";"16425.77";"17461.74";"19191.68";"20748.34";"23558.43";"24902.65";"20649.75";"18174.63";"14086.39";"13957.23";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Guadeloupe - Série arrêtée";"001717231";"";"104.19";"112.66";"110.61";"94.03";"73.43";"51.3";"82.37";"95.92";"37.12";"55.83";"86.16";"95.92";"124.92";"127.54";"124.6";"107.59";"81.64";"65.62";"83.83";"96.47";"30.97";"60.21";"86.68";"106.75";"123.41";"128.39";"120.21";"104.02";"87.32";"62.49";"83.44";"96.68";"28.93";"55.57";"82.97";"106.79";"112.03";"127.96";"129.35";"96.58";"92.51";"59.66";"72.27";"98.41";"35.01";"63.67";"80.51";"103.38";"117.47";"119.64";"111.37";"101.21";"69.73";"47.14";"66.13";"78.79";"22.95";"58.46";"70.73";"87.22";"104.04";"115.96";"110.11";"97.62";"84.97";"50.04";"68.46";"75.88";"32.17";"52.11";"67.24";"113.27";"110.46";"119.21";"114.79";"85.13";"69.83";"49.9";"83.02";"81.81";"27.47";"64.0";"80.65";"114.25";"137.44";"136.72";"148.78";"130.31";"82.18";"83.13";"98.01";"88.5";"38.99";"74.39";"93.7";"124.58";"147.5";"152.18";"149.65";"117.85";"105.75";"64.03";"102.76";"112.96";"35.64";"61.75";"95.69";"132.49";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Martinique - Série arrêtée";"001717234";"";"127.68";"136.73";"139.48";"121.65";"123.69";"76.17";"93.56";"143.88";"53.69";"69.97";"100.75";"116.43";"149.51";"147.01";"145.9";"123.71";"97.86";"67.88";"97.08";"141.9";"52.71";"73.24";"114.07";"117.15";"142.81";"145.92";"138.56";"112.87";"100.56";"49.37";"97.85";"137.19";"48.11";"67.26";"110.83";"115.05";"150.56";"138.06";"150.38";"121.98";"113.54";"50.8";"97.85";"134.15";"44.01";"77.31";"104.12";"126.39";"133.58";"143.87";"140.19";"120.66";"91.58";"47.66";"86.26";"116.51";"41.73";"78.37";"74.0";"113.68";"121.59";"135.13";"135.01";"128.54";"97.98";"54.73";"92.46";"127.9";"46.87";"77.46";"87.22";"117.67";"125.29";"139.11";"145.04";"98.69";"84.45";"46.47";"95.47";"117.8";"38.85";"83.99";"98.45";"120.15";"127.88";"143.39";"147.64";"135.43";"79.18";"54.81";"102.48";"129.78";"55.45";"89.89";"101.23";"129.01";"147.53";"152.75";"152.35";"128.74";"102.22";"58.31";"102.85";"143.22";"47.53";"77.07";"105.28";"124.56";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Guyane - Série arrêtée";"001717237";"";"21.73";"29.11";"30.6";"24.34";"27.73";"27.13";"31.27";"27.68";"25.68";"33.81";"32.23";"27.0";"23.17";"25.41";"27.85";"33.5";"29.58";"24.58";"27.29";"26.1";"29.68";"34.95";"32.12";"32.81";"24.69";"28.36";"25.46";"27.07";"27.82";"26.79";"26.0";"33.12";"30.39";"37.47";"36.0";"27.42";"22.7";"23.29";"26.45";"26.22";"29.08";"33.9";"28.69";"27.63";"23.26";"27.79";"27.95";"31.91";"25.38";"24.42";"28.02";"30.79";"21.95";"29.13";"24.87";"21.09";"21.76";"32.13";"30.54";"32.27";"25.97";"28.8";"40.79";"25.08";"27.87";"26.18";"24.46";"30.03";"28.09";"34.85";"28.72";"33.3";"26.14";"20.37";"31.97";"37.3";"29.76";"25.72";"28.3";"27.05";"23.24";"36.1";"33.53";"38.84";"36.15";"26.44";"35.44";"19.45";"31.33";"30.38";"29.52";"36.44";"30.96";"34.25";"31.15";"29.66";"30.75";"37.93";"37.28";"28.78";"26.07";"27.67";"29.75";"31.28";"30.62";"42.94";"43.23";"37.69";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - La Réunion - Série arrêtée";"001717240";"";"74.0";"61.71";"65.35";"71.51";"67.67";"48.89";"63.31";"70.28";"63.96";"95.95";"98.91";"84.51";"80.01";"73.64";"82.8";"87.53";"74.39";"54.93";"68.15";"77.86";"70.68";"101.4";"103.99";"93.31";"83.19";"74.17";"80.59";"83.3";"76.99";"54.38";"71.99";"76.07";"67.47";"92.31";"103.73";"88.6";"82.6";"67.42";"88.33";"73.89";"85.08";"59.99";"73.99";"80.65";"71.11";"97.15";"102.7";"89.66";"73.81";"68.48";"78.7";"77.59";"70.39";"57.89";"66.92";"79.03";"66.68";"99.23";"99.37";"85.37";"79.77";"69.6";"77.77";"81.66";"85.55";"65.27";"76.06";"89.27";"77.72";"110.5";"116.5";"101.11";"99.46";"82.53";"90.69";"90.69";"97.29";"69.84";"95.85";"97.65";"85.97";"118.11";"118.45";"107.23";"112.16";"82.31";"93.87";"110.27";"99.35";"78.55";"104.84";"124.56";"114.37";"148.85";"143.63";"139.91";"125.77";"102.71";"119.97";"126.46";"127.4";"94.58";"123.54";"132.86";"117.25";"157.12";"129.19";"119.15";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Île-de-France - Série arrêtée";"001711043";"";"4357.1";"4171.42";"5341.48";"5478.19";"6203.97";"6156.55";"6416.4";"5730.38";"5991.0";"6028.2";"4841.55";"5203.18";"4531.73";"4153.77";"5441.41";"5993.38";"6170.54";"6364.52";"6729.56";"5989.62";"6065.27";"6174.8";"5056.52";"5328.46";"4547.87";"4294.86";"5447.45";"6041.3";"6158.16";"6439.13";"6671.16";"5941.54";"5982.74";"6151.07";"5114.24";"5273.71";"4343.54";"4340.08";"5497.05";"5677.34";"6305.63";"6424.88";"6389.63";"6224.17";"5975.07";"6076.29";"5017.5";"5257.21";"4436.49";"4181.85";"5219.17";"5923.56";"6098.22";"6141.49";"6385.63";"6345.04";"5792.71";"6107.88";"4797.58";"5309.36";"4518.6";"4288.11";"5084.78";"5693.81";"6136.03";"6311.22";"6775.39";"6348.85";"6020.96";"6118.31";"4468.08";"4547.64";"4066.69";"3908.77";"5074.75";"4930.03";"5608.97";"5679.39";"5906.24";"5050.16";"5494.25";"5780.15";"4821.26";"5197.02";"4744.56";"4279.87";"5309.47";"5943.95";"5943.71";"6321.41";"6589.61";"5694.74";"6040.26";"6199.86";"5344.01";"5636.91";"4940.47";"4689.9";"5959.92";"6091.3";"6225.84";"6594.83";"6980.36";"6343.94";"6305.77";"6585.93";"5583.14";"5484.91";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Centre-Val de Loire - Série arrêtée";"001711038";"";"253.94";"278.21";"379.48";"464.01";"582.88";"615.7";"713.93";"715.48";"579.93";"465.52";"335.08";"294.03";"299.34";"285.35";"369.21";"471.94";"543.86";"649.35";"730.46";"703.16";"565.41";"478.37";"351.31";"302.85";"300.4";"314.87";"377.22";"500.72";"563.8";"609.2";"706.83";"681.24";"581.62";"458.04";"374.29";"288.02";"272.03";"280.46";"392.54";"434.22";"578.22";"600.55";"690.94";"706.78";"548.46";"469.6";"352.52";"299.53";"268.77";"280.25";"354.55";"473.34";"547.81";"607.72";"671.83";"680.13";"564.0";"466.85";"322.97";"292.12";"273.58";"306.43";"363.04";"459.73";"561.18";"582.99";"700.65";"722.13";"598.69";"501.51";"317.47";"312.28";"279.45";"305.74";"406.88";"472.46";"573.39";"590.13";"718.39";"721.55";"572.66";"500.9";"344.61";"315.95";"281.57";"304.61";"384.1";"520.12";"563.95";"616.59";"738.93";"738.31";"594.91";"500.96";"377.57";"340.56";"300.76";"313.12";"406.13";"520.62";"594.45";"637.4";"723.94";"739.79";"607.16";"514.86";"381.77";"336.3";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Bourgogne-Franche-Comté - Série arrêtée";"001738997";"";"343.08";"436.45";"477.09";"567.65";"674.73";"702.76";"838.74";"816.21";"714.88";"587.01";"421.09";"388.3";"364.4";"417.65";"480.3";"573.72";"614.85";"752.01";"842.48";"811.85";"714.94";"588.12";"436.02";"394.68";"367.37";"409.7";"483.26";"532.69";"633.62";"700.88";"825.81";"787.49";"700.71";"555.41";"435.84";"368.98";"329.98";"388.44";"494.71";"510.32";"644.59";"691.26";"795.72";"787.43";"677.73";"573.11";"408.15";"374.84";"348.89";"405.35";"461.97";"551.25";"620.39";"707.85";"784.21";"815.44";"677.39";"577.07";"419.04";"400.74";"360.92";"444.69";"472.68";"550.54";"685.5";"721.69";"838.7";"850.96";"715.53";"611.43";"440.05";"419.72";"369.2";"460.45";"522.95";"545.28";"676.31";"696.36";"843.24";"821.47";"688.28";"598.19";"469.16";"418.92";"382.26";"455.26";"507.73";"597.68";"652.1";"726.04";"868.2";"834.17";"725.11";"609.3";"471.98";"432.92";"385.38";"445.21";"550.34";"560.53";"675.55";"731.85";"821.46";"825.33";"721.63";"612.95";"465.87";"417.32";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Total - Normandie - Série arrêtée";"001739010";"";"341.09";"381.8";"492.98";"669.45";"755.69";"775.14";"903.39";"988.16";"765.62";"611.86";"429.02";"349.31";"349.8";"416.41";"501.72";"716.94";"717.81";"844.57";"867.25";"951.7";"756.08";"682.26";"463.91";"385.94";"362.23";"414.08";"547.57";"662.1";"758.52";"770.17";"855.55";"958.25";"777.92";"604.54";"497.35";"391.74";"344.85";"380.89";"539.79";"586.92";"773.76";"794.9";"888.82";"1016.07";"725.18";"619.93";"478.01";"381.54";"347.99";"395.64";"505.11";"642.34";"737.58";"819.6";"863.85";"1013.26";"780.51";"639.72";"459.44";"383.77";"351.79";"404.07";"509.04";"658.97";"774.68";"788.18";"892.19";"955.0";"739.41";"612.36";"425.63";"403.48";"342.87";"409.34";"534.51";"604.71";"741.6";"731.38";"900.4";"972.38";"766.22";"681.75";"473.61";"423.1";"371.9";"432.95";"525.42";"740.77";"751.7";"806.58";"898.04";"979.76";"772.73";"658.58";"505.72";"424.48";"363.35";"426.66";"546.06";"699.7";"806.94";"828.23";"937.37";"1050.96";"816.38";"689.33";"523.81";"447.56";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
